City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Yaring,0,TH,03/14/19,80,6.87,101.37,76.24,3.94
Leningradskiy,32,RU,03/14/19,47,69.38,178.42,-15.88,6.17
Nobeoka,0,JP,03/14/19,75,32.66,131.66,28.0,2.59
Okhotsk,48,RU,03/14/19,100,59.36,143.24,6.45,3.04
Marsabit,0,KE,03/14/19,61,2.34,37.99,78.0,5.39
Saint-Georges,32,CA,03/14/19,62,46.12,-70.67,45.0,4.27
Ayni,0,TJ,03/14/19,68,39.39,68.54,23.55,2.37
Straumen,0,NO,03/14/19,86,63.87,11.3,39.0,2.24
Rovaniemi,75,FI,03/14/19,92,66.5,25.72,26.6,8.05
Kano,0,NG,03/14/19,18,11.99,8.53,87.8,4.7
Semporna,75,MY,03/14/19,88,4.48,118.61,75.2,2.24
Torbay,40,CA,03/14/19,47,47.66,-52.73,37.99,9.17
Coahuayana,0,MX,03/14/19,27,18.62,-100.35,84.39,3.04
Porbandar,0,IN,03/14/19,73,21.64,69.61,70.53,12.66
Araouane,0,ML,03/14/19,13,18.9,-3.53,82.95,4.61
Christchurch,92,NZ,03/14/19,93,-43.53,172.64,59.0,6.93
Sitka,80,US,03/14/19,55,37.17,-99.65,42.01,24.0
Genhe,8,CN,03/14/19,57,50.78,121.52,0.37,4.83
Chuy,64,UY,03/14/19,88,-33.69,-53.46,75.12,11.65
Cabedelo,40,BR,03/14/19,70,-6.97,-34.84,86.0,12.75
Ardakan,75,IR,03/14/19,22,32.31,54.02,64.4,16.11
Severo-Kurilsk,44,RU,03/14/19,100,50.68,156.12,26.2,7.29
Puerto del Rosario,40,ES,03/14/19,82,28.5,-13.86,68.0,10.29
Santa Isabel do Rio Negro,64,BR,03/14/19,98,-0.41,-65.02,76.06,8.52
Stepnogorsk,8,KZ,03/14/19,89,52.35,71.88,34.66,15.79
Zhuhai,0,CN,03/14/19,34,40.71,112.04,35.6,6.71
Zhigansk,0,RU,03/14/19,36,66.77,123.37,-10.93,2.59
Zaokskiy,0,RU,03/14/19,89,54.73,37.4,32.0,11.18
Lompoc,1,US,03/14/19,41,34.64,-120.46,66.0,5.82
Bathsheba,40,BB,03/14/19,62,13.22,-59.52,84.2,17.22
Westport,90,IE,03/14/19,93,53.8,-9.52,46.0,11.41
Price,1,US,03/14/19,43,39.6,-110.81,36.0,10.29
Phalaborwa,0,ZA,03/14/19,44,-23.95,31.14,80.11,14.79
Krasnokholm,0,RU,03/14/19,88,51.6,54.16,25.75,7.52
Bethanien,76,NA,03/14/19,24,-26.5,17.16,85.69,4.72
Khani,75,GE,03/14/19,100,41.96,42.96,48.2,2.24
Guthrie,90,US,03/14/19,43,35.88,-97.43,52.0,21.92
Rawson,92,AR,03/14/19,99,-43.3,-65.11,56.94,23.85
Storsteinnes,75,NO,03/14/19,63,69.24,19.23,28.4,18.34
Antofagasta,0,CL,03/14/19,53,-23.65,-70.4,71.6,11.41
Izhevskoye,0,RU,03/14/19,77,54.56,40.87,17.65,10.2
Mugur-Aksy,0,RU,03/14/19,68,50.38,90.44,4.06,2.71
Upata,24,VE,03/14/19,53,8.02,-62.41,90.0,10.0
Havre-Saint-Pierre,75,CA,03/14/19,100,50.23,-63.6,32.0,9.17
Aklavik,90,CA,03/14/19,76,68.22,-135.01,-4.01,9.17
Kholodnyy,0,RU,03/14/19,0,62.72,147.95,-34.51,4.27
Mercedes,0,UY,03/14/19,77,-33.25,-58.03,76.87,8.52
Fort Nelson,75,CA,03/14/19,53,58.81,-122.69,26.6,1.14
Seybaplaya,5,MX,03/14/19,38,19.65,-90.67,93.2,16.11
Shingu,12,JP,03/14/19,100,33.72,135.99,48.07,8.41
Rabaul,76,PG,03/14/19,100,-4.2,152.17,77.64,7.96
Half Moon Bay,1,US,03/14/19,28,37.46,-122.43,62.6,10.29
Khudumelapye,0,BW,03/14/19,47,-23.91,24.95,78.18,5.95
Sabha,0,LY,03/14/19,27,27.03,14.43,58.38,3.6
Ilulissat,75,GL,03/14/19,60,69.22,-51.1,6.8,4.7
Kargasok,92,RU,03/14/19,95,59.06,80.87,34.62,4.5
Sibolga,0,ID,03/14/19,100,1.74,98.78,66.79,2.04
Bandarbeyla,12,SO,03/14/19,100,9.49,50.81,78.09,7.96
Bongor,0,TD,03/14/19,17,10.28,15.37,89.88,8.19
Sri Aman,76,MY,03/14/19,100,1.24,111.46,73.4,1.12
Alofi,68,NU,03/14/19,94,-19.06,-169.92,75.2,1.12
Ati,0,TD,03/14/19,14,13.21,18.34,87.94,9.53
Taksimo,44,RU,03/14/19,77,56.36,114.84,8.2,1.36
Dingle,0,PH,03/14/19,85,11.0,122.67,74.35,11.43
Tazovskiy,64,RU,03/14/19,78,67.47,78.7,10.81,17.02
Gat,0,SN,03/14/19,17,14.69,-16.54,89.6,13.87
Berlevag,40,NO,03/14/19,79,70.86,29.09,23.0,12.75
Sawtell,0,AU,03/14/19,88,-30.38,153.1,70.0,4.7
Koslan,0,RU,03/14/19,75,63.46,48.9,9.6,3.49
Goderich,92,CA,03/14/19,82,43.74,-81.71,50.0,17.0
Kortkeros,75,RU,03/14/19,85,61.81,51.56,23.0,2.48
Souillac,90,FR,03/14/19,87,45.6,-0.6,52.0,19.46
Matamoros,75,US,03/14/19,88,25.87,-97.51,78.01,8.05
Itarema,36,BR,03/14/19,96,-2.92,-39.92,80.2,5.61
Bacolod,0,PH,03/14/19,80,10.68,122.95,74.4,8.97
Assomada,0,CV,03/14/19,30,15.1,-23.68,82.4,19.46
Shamary,92,RU,03/14/19,84,57.34,58.22,24.31,14.23
Geraldton,90,CA,03/14/19,100,49.72,-86.95,37.4,2.24
Port Keats,36,AU,03/14/19,92,-14.25,129.55,79.35,7.07
Kon Tum,8,VN,03/14/19,90,14.36,108.0,63.15,1.92
Karratha,0,AU,03/14/19,50,-20.74,116.85,85.06,9.64
Ugoofaaru,8,MV,03/14/19,97,5.67,73.0,84.34,9.42
Venado Tuerto,0,AR,03/14/19,21,-33.75,-61.97,84.0,4.0
Margate,40,AU,03/14/19,76,-43.03,147.26,54.0,8.05
Suhbaatar,12,MN,03/14/19,64,50.23,106.21,31.74,5.5
Rio das Ostras,20,BR,03/14/19,59,-22.53,-41.95,95.0,9.17
Camopi,92,GF,03/14/19,81,3.17,-52.33,80.47,2.93
Laguna,75,MX,03/14/19,46,27.52,-110.01,69.8,11.41
Simao,0,CN,03/14/19,74,22.76,100.79,56.49,2.04
Abha,0,SA,03/14/19,63,18.22,42.5,64.4,8.05
Alasehir,80,TR,03/14/19,77,38.35,28.52,46.68,3.71
Umm Lajj,0,SA,03/14/19,95,25.02,37.27,63.87,10.65
Severobaykalsk,88,RU,03/14/19,85,55.65,109.32,15.22,1.03
Kulob,24,TJ,03/14/19,50,37.91,69.78,51.8,13.42
Novi Sanzhary,76,UA,03/14/19,60,49.33,34.31,33.22,6.96
Kang,8,BW,03/14/19,32,-23.67,22.79,81.46,6.4
Terpinnya,88,UA,03/14/19,75,46.97,35.42,35.07,8.19
Kaduna,36,NG,03/14/19,19,10.52,7.44,88.89,9.19
Lorengau,56,PG,03/14/19,100,-2.02,147.27,79.75,13.22
Taylorville,75,US,03/14/19,58,39.55,-89.29,62.01,32.21
Hay River,20,CA,03/14/19,68,60.82,-115.79,26.6,13.87
Samarai,92,PG,03/14/19,100,-10.62,150.67,76.47,19.71
Talnakh,48,RU,03/14/19,76,69.49,88.39,8.88,10.42
Kokoda,88,PG,03/14/19,98,-8.88,147.74,63.37,0.81
Magole,20,TZ,03/14/19,65,-6.37,37.37,80.6,11.41
Hami,0,CN,03/14/19,48,42.84,93.51,32.77,4.94
Lalganj,20,IN,03/14/19,60,26.17,80.97,71.6,4.7
Meiganga,92,CM,03/14/19,33,6.52,14.29,82.77,4.5
Honningsvag,20,NO,03/14/19,68,70.98,25.97,26.6,19.46
Florence,90,US,03/14/19,82,34.8,-87.68,75.2,20.8
Saint George,90,GR,03/14/19,76,39.45,22.34,51.8,3.15
Lazaro Cardenas,40,MX,03/14/19,25,28.39,-105.62,66.0,8.05
Guadalupe y Calvo,44,MX,03/14/19,22,26.09,-106.96,62.43,2.59
Uarini,40,BR,03/14/19,63,-2.98,-65.16,91.4,14.99
Barranca,0,PE,03/14/19,96,-10.75,-77.76,74.62,4.61
Mackenzie,90,CA,03/14/19,86,55.34,-123.09,30.2,9.17
Dargaville,56,NZ,03/14/19,95,-35.94,173.86,58.29,4.38
Srednekolymsk,44,RU,03/14/19,76,67.46,153.71,-11.92,2.37
Hisar,24,IN,03/14/19,77,29.16,75.73,59.5,6.73
Melilla,75,EC,03/14/19,83,-0.8,-80.23,82.4,3.36
Barranco,32,BR,03/14/19,67,-20.59,-41.2,84.3,3.94
Cali,75,CO,03/14/19,78,3.43,-76.51,77.0,6.93
Weligama,12,LK,03/14/19,93,5.97,80.42,79.89,7.18
Ranghulu,0,CN,03/14/19,75,46.63,124.88,16.53,7.74
Khandyga,68,RU,03/14/19,76,62.65,135.58,6.94,2.59
Maltahohe,76,NA,03/14/19,25,-24.83,16.98,81.46,2.48
Kitale,0,KE,03/14/19,58,1.02,35.0,60.22,3.15
Luanda,20,AO,03/14/19,66,-8.83,13.24,86.0,8.05
Taoudenni,0,ML,03/14/19,12,22.68,-3.98,81.55,7.74
Awbari,0,LY,03/14/19,24,26.59,12.77,58.92,5.39
Stantsionno-Oyashinskiy,44,RU,03/14/19,91,55.47,83.82,31.29,10.42
Mweka,36,CD,03/14/19,71,-4.85,21.56,83.58,2.71
Natal,40,BR,03/14/19,66,-5.81,-35.21,87.8,11.41
Kurchum,0,KZ,03/14/19,57,48.57,83.65,15.18,6.51
Kysyl-Syr,0,RU,03/14/19,67,63.9,122.77,-4.99,2.48
Cayenne,92,GF,03/14/19,78,4.94,-52.33,82.4,4.7
Ondangwa,24,NA,03/14/19,40,-17.91,15.98,83.44,8.08
Camaqua,0,BR,03/14/19,67,-30.85,-51.81,79.75,12.21
Wuchang,88,CN,03/14/19,81,44.93,127.16,25.75,7.29
Harper,1,US,03/14/19,25,30.3,-99.24,72.0,18.34
Hofn,48,IS,03/14/19,100,64.25,-15.21,37.0,21.16
Dubbo,0,AU,03/14/19,72,-32.25,148.6,55.4,5.82
Ishigaki,80,JP,03/14/19,100,24.34,124.16,70.08,15.68
Kutum,0,SD,03/14/19,18,14.2,24.66,71.43,10.2
Lixourion,75,GR,03/14/19,100,38.2,20.43,50.0,10.29
Alihe,36,CN,03/14/19,64,50.57,123.73,9.82,4.61
High Level,20,CA,03/14/19,79,58.52,-117.13,23.0,9.17
Haines Junction,12,CA,03/14/19,75,60.75,-137.51,22.6,3.38
Lata,92,IN,03/14/19,100,30.78,78.62,36.55,1.81
Harriston,90,CA,03/14/19,81,43.92,-80.87,50.0,5.82
Praya,88,ID,03/14/19,100,-8.71,116.27,79.17,5.28
Elko,1,US,03/14/19,40,40.83,-115.76,34.0,6.93
Nowy Dwor Mazowiecki,0,PL,03/14/19,75,52.43,20.72,45.0,5.82
Janauba,56,BR,03/14/19,88,-1.63,-45.47,84.03,4.16
Nioro,0,GM,03/14/19,15,13.79,-15.05,96.85,8.86
Aleksandrov Gay,0,RU,03/14/19,79,50.14,48.57,20.17,8.19
Peleduy,88,RU,03/14/19,83,59.63,112.75,26.88,6.4
King of Prussia,1,US,03/14/19,48,40.09,-75.4,66.0,10.29
Tecpan,20,GT,03/14/19,44,14.76,-90.99,78.8,9.17
Vitim,88,RU,03/14/19,83,59.44,112.57,26.88,6.4
Dali,0,CN,03/14/19,100,25.6,100.24,42.85,1.59
Nogliki,76,RU,03/14/19,97,51.8,143.14,19.72,3.83
Turan,0,RU,03/14/19,65,52.15,93.92,12.03,1.92
Kulhudhuffushi,0,MV,03/14/19,100,6.62,73.07,83.04,3.27
Merauke,36,ID,03/14/19,100,-8.49,140.4,77.41,16.13
Valparaiso,90,US,03/14/19,82,41.47,-87.06,66.99,14.99
Alice Springs,12,AU,03/14/19,21,-23.7,133.88,78.8,5.82
Saint-Pierre,92,FR,03/14/19,93,48.95,4.24,50.0,16.11
Isangel,12,VU,03/14/19,100,-19.55,169.27,80.74,5.17
Shakiso,48,ET,03/14/19,39,5.77,38.9,73.05,6.17
Ust-Karsk,0,RU,03/14/19,68,52.71,118.82,5.95,2.93
Mayo,90,CA,03/14/19,68,63.59,-135.9,32.0,5.82
Bud,75,NO,03/14/19,69,62.91,6.91,37.4,3.36
Nalut,0,LY,03/14/19,57,31.86,10.98,54.91,6.62
Ulladulla,90,AU,03/14/19,82,-35.36,150.48,64.4,8.05
Kudahuvadhoo,80,MV,03/14/19,98,2.67,72.89,85.65,5.39
El Bordo,92,CO,03/14/19,95,2.11,-76.99,64.54,1.81
Tilichiki,0,RU,03/14/19,41,60.47,166.1,-27.13,3.94
Nsanje,92,MZ,03/14/19,73,-16.92,35.26,79.84,1.92
Tifton,75,US,03/14/19,53,31.45,-83.51,81.0,8.05
Isa Khel,32,AF,03/14/19,81,36.67,68.84,44.74,3.83
Namibe,20,AO,03/14/19,97,-15.19,12.15,80.07,7.63
Farah,0,AF,03/14/19,56,32.37,62.11,47.85,2.93
Kidal,92,ML,03/14/19,25,18.44,1.41,83.71,5.5
Ponta Delgada,75,PT,03/14/19,58,37.73,-25.67,59.0,12.75
Sooke,90,CA,03/14/19,81,48.37,-123.73,48.0,3.36
Aripuana,44,BR,03/14/19,56,-9.17,-60.63,91.45,3.94
Codrington,0,AU,03/14/19,93,-28.95,153.24,69.8,2.26
Aquiraz,40,BR,03/14/19,74,-3.9,-38.39,84.2,6.93
Nanuque,0,BR,03/14/19,39,-17.84,-40.35,97.44,9.75
Hearst,92,CA,03/14/19,94,49.69,-83.67,44.2,7.96
Concepcion del Oro,0,MX,03/14/19,23,24.63,-101.42,72.42,3.49
Samana,90,EC,03/14/19,100,0.12,-76.97,73.4,4.7
Mehamn,0,NO,03/14/19,79,71.03,27.85,26.6,21.92
Rome,0,IT,03/14/19,66,41.89,12.48,55.4,2.24
Plouzane,90,FR,03/14/19,93,48.38,-4.62,52.0,17.22
Luwuk,76,ID,03/14/19,94,-0.95,122.79,77.82,3.6
Vila,75,IT,03/14/19,37,45.18,8.4,57.0,10.29
Port Blair,20,IN,03/14/19,88,11.67,92.75,73.4,2.24
Safford,1,US,03/14/19,27,32.83,-109.71,50.0,4.7
Miraflores,88,CO,03/14/19,81,5.2,-73.14,60.18,1.81
Conakry,0,GN,03/14/19,99,9.52,-13.7,82.54,11.54
Vestmannaeyjar,90,IS,03/14/19,100,63.44,-20.27,35.6,13.87
Mount Gambier,90,AU,03/14/19,100,-37.83,140.78,55.4,5.82
Mount Isa,0,AU,03/14/19,22,-20.73,139.49,80.6,8.05
Graham,1,US,03/14/19,43,36.07,-79.4,77.0,8.05
Fortuna,0,ES,03/14/19,50,38.18,-1.13,62.01,2.24
Ganzhou,76,CN,03/14/19,91,25.86,114.93,53.74,3.27
Tarija,75,BO,03/14/19,56,-21.53,-64.73,73.4,6.93
Kavieng,88,PG,03/14/19,100,-2.57,150.8,76.65,8.52
Nanakuli,90,US,03/14/19,83,21.39,-158.15,77.0,6.93
Ahtopol,0,BG,03/14/19,75,42.1,27.94,44.6,9.17
Whitehorse,75,CA,03/14/19,75,60.72,-135.06,32.0,12.75
Mahenge,0,TZ,03/14/19,83,-8.68,36.72,76.47,2.26
Gusau,0,NG,03/14/19,18,12.17,6.66,89.07,7.4
Sinnamary,92,GF,03/14/19,100,5.38,-52.96,75.93,6.4
Loukhi,76,RU,03/14/19,79,66.08,33.04,24.22,8.75
Sulangan,0,PH,03/14/19,100,11.14,123.72,79.84,18.14
Castelo Branco,0,PT,03/14/19,32,39.82,-7.5,63.0,1.99
Praia,40,BR,03/14/19,51,-20.25,-43.81,86.0,3.36
Kosh-Agach,0,RU,03/14/19,59,49.99,88.66,7.08,1.92
Xiongzhou,76,CN,03/14/19,81,32.34,118.83,57.0,4.47
Shasta Lake,1,US,03/14/19,48,40.68,-122.36,59.0,2.82
Maloy,68,ID,03/14/19,86,1.0,118.1,74.26,2.15
Rapid Valley,1,US,03/14/19,86,44.06,-103.15,35.01,32.21
Mabaruma,20,GY,03/14/19,67,8.2,-59.78,85.38,8.19
Brae,20,GB,03/14/19,81,60.4,-1.35,42.8,13.87
Kirakira,12,SB,03/14/19,98,-10.46,161.92,84.3,4.94
Steinen,40,DE,03/14/19,100,50.57,7.81,46.99,20.8
Ostrovnoy,8,RU,03/14/19,78,68.05,39.51,16.75,20.04
Kokstad,88,ZA,03/14/19,94,-30.55,29.42,62.34,1.14
Meulaboh,88,ID,03/14/19,100,4.14,96.13,78.63,6.96
Ndola,64,ZM,03/14/19,77,-12.97,28.64,69.94,2.93
Teya,20,MX,03/14/19,32,21.05,-89.07,96.8,23.04
Aksarka,0,RU,03/14/19,62,66.56,67.8,4.06,10.98
Anshun,92,CN,03/14/19,98,26.25,105.93,46.54,6.73
Nantucket,90,US,03/14/19,87,41.28,-70.1,48.0,9.17
Palmer,0,AU,03/14/19,72,-34.85,139.16,61.0,6.93
College,1,US,03/14/19,62,64.86,-147.8,34.0,8.05
Husavik,76,CA,03/14/19,64,50.56,-96.99,33.01,20.0
Barcelos,0,PT,03/14/19,81,41.53,-8.62,61.0,9.17
Rivne,20,UA,03/14/19,85,50.62,26.25,39.99,9.19
Grindavik,40,IS,03/14/19,100,63.84,-22.43,37.4,9.17
Port Macquarie,40,AU,03/14/19,94,-31.43,152.91,68.0,4.7
Bonavista,8,CA,03/14/19,54,48.65,-53.11,37.99,7.0
Cerrito,75,CO,03/14/19,69,6.84,-72.7,78.8,5.82
Ciudad Bolivar,44,VE,03/14/19,30,8.12,-63.55,95.82,13.0
Atasu,0,KZ,03/14/19,73,48.68,71.64,29.13,10.42
Ankang,76,CN,03/14/19,82,32.73,108.99,35.52,1.7
Standerton,8,ZA,03/14/19,77,-26.94,29.24,63.0,5.01
Oyon,64,PE,03/14/19,56,-10.67,-76.77,59.14,0.47
Tonantins,12,BR,03/14/19,62,-2.86,-67.77,91.45,5.28
Dourbali,0,TD,03/14/19,16,11.81,15.86,89.29,10.76
Necochea,100,AR,03/14/19,85,-38.55,-58.74,75.0,8.01
Chabahar,0,IR,03/14/19,95,25.29,60.65,70.98,8.08
Teocaltiche,20,MX,03/14/19,30,21.43,-102.58,71.6,10.29
Narsaq,75,GL,03/14/19,73,60.91,-46.05,21.2,5.82
Dicabisagan,68,PH,03/14/19,100,17.08,122.42,71.88,2.93
Mecca,0,SA,03/14/19,46,21.43,39.83,67.42,8.3
Pangnirtung,20,CA,03/14/19,68,66.15,-65.72,-14.81,7.18
Mitu,92,IR,03/14/19,95,36.2,46.09,36.55,0.13
